vote_count,id,vote_average,title,popularity,original_language,original_title,adult,release_date
6401,269149,7.7,Zootopia,516.43593,en,Zootopia,False,2016-02-11
7168,198663,7,The Maze Runner,488.414619,en,The Maze Runner,False,2014-09-10
2863,343668,7,Kingsman: The Golden Circle,338.355082,en,Kingsman: The Golden Circle,False,2017-09-20
4332,216015,5.3,Fifty Shades of Grey,333.857668,en,Fifty Shades of Grey,False,2015-02-11
2094,284054,7.4,Black Panther,323.405145,en,Black Panther,False,2018-02-13
5275,374720,7.4,Dunkirk,288.591948,en,Dunkirk,False,2017-07-19
690,337167,6.3,Fifty Shades Freed,254.775978,en,Fifty Shades Freed,False,2018-02-07
4550,284053,7.4,Thor: Ragnarok,251.448508,en,Thor: Ragnarok,False,2017-10-25
1918,399055,7.5,The Shape of Water,245.399186,en,The Shape of Water,False,2017-12-01
1876,396422,6.4,Annabelle: Creation,234.212414,en,Annabelle: Creation,False,2017-08-03
3447,315837,5.9,Ghost in the Shell,204.717406,en,Ghost in the Shell,False,2017-03-29
4253,339403,7.4,Baby Driver,203.28165,en,Baby Driver,False,2017-06-28
12,394823,5.6,Robby and Toby's Fantastic Voyager,198.983338,de,"Robbi, Tobbi und das Fliewatüüt",False,2016-12-01
259,347882,5.2,Sleight,196.294333,en,Sleight,False,2017-04-28
278,393345,5.1,Cult of Chucky,195.111257,en,Cult of Chucky,False,2017-09-23
2688,354912,7.8,Coco,191.17532,en,Coco,False,2017-10-27
207,395991,6.6,Only the Brave,182.388704,en,Only the Brave,False,2017-09-22
1627,390043,6.7,The Hitman's Bodyguard,176.692398,en,The Hitman's Bodyguard,False,2017-08-16
124,335777,5.8,The Nut Job 2: Nutty by Nature,167.224905,en,The Nut Job 2: Nutty by Nature,False,2017-08-11
3056,258489,5.6,The Legend of Tarzan,164.976715,en,The Legend of Tarzan,False,2016-06-29
3340,141052,6.4,Justice League,157.567146,en,Justice League,False,2017-11-15
1723,359940,8.2,"Three Billboards Outside Ebbing, Missouri",156.991198,en,"Three Billboards Outside Ebbing, Missouri",False,2017-11-10
972,391713,7.7,Lady Bird,154.998176,en,Lady Bird,False,2017-09-08
42,379220,5.9,No Filter,141.002741,es,Sin Filtro,False,2016-01-07
